Periode;Jumlah Penumpang KAI Jawa
Januari 2013;14573
Februari 2013;14315
Maret 2013;15521
April 2013;15724
Mei 2013;15795
Juni 2013;16932
Juli 2013;19917
Agustus 2013;19031
September 2013;19439
Oktober 2013;20198
November 2013;19578
Desember 2013;20992
Januari 2014;20698
Februari 2014;19628
Maret 2014;22427
April 2014;21502
Mei 2014;22547
Juni 2014;23415
Juli 2014;22125
Agustus 2014;22763
September 2014;23219
Oktober 2014;24503
November 2014;23986
Desember 2014;25791
Januari 2015;24254
Februari 2015;22394
Maret 2015;26841
April 2015;26150
Mei 2015;27450
Juni 2015;27118
Juli 2015;27077
Agustus 2015;27351
September 2015;27125
Oktober 2015;28280
November 2015;27253
Desember 2015;29328
Januari 2016;27886
Februari 2016;26058
Maret 2016;28156
April 2016;28000
Mei 2016;30176
Juni 2016;28730
Juli 2016;28216
Agustus 2016;29125
September 2016;29019
Oktober 2016;29765
November 2016;29178
Desember 2016;31530
Januari 2017;30359
Februari 2017;26837
Maret 2017;31612
April 2017;30934
Mei 2017;33157
Juni 2017;30181
Juli 2017;33669
Agustus 2017;33255
September 2017;31921
Oktober 2017;34498
November 2017;33798
Desember 2017;36140
Januari 2018;34107
Februari 2018;30721
Maret 2018;35272
April 2018;35135
Mei 2018;34877
Juni 2018;32270
Juli 2018;36089
Agustus 2018;34560
September 2018;33878
Oktober 2018;35602
November 2018;34637
Desember 2018;37197
Januari 2019;34435
Februari 2019;31282
Maret 2019;35068
April 2019;35106
Mei 2019;34514
Juni 2019;34261
Juli 2019;38303
Agustus 2019;34542
September 2019;34615
Oktober 2019;35814
November 2019;35228
Desember 2019;36710
Januari 2020;33472
Februari 2020;31679
Maret 2020;22949
April 2020;5813
Mei 2020;5476
Juni 2020;9272
Juli 2020;12205
Agustus 2020;12679
September 2020;11295
Oktober 2020;11768
November 2020;13523
Desember 2020;13262
Januari 2021;11631
Februari 2021;11223
Maret 2021;13995
April 2021;14590
Mei 2021;14627
Juni 2021;14313
Juli 2021;5646
Agustus 2021;6479
September 2021;9510
Oktober 2021;13139
November 2021;15161
Desember 2021;17207
Januari 2022;17499
Februari 2022;12857
Maret 2022;19133
April 2022;19436
Mei 2022;23114
Juni 2022;23160
Juli 2022;25272
Agustus 2022;23920
September 2022;25167
Oktober 2022;27143
November 2022;26473
Desember 2022;29245
